id	type	title	short_title	score	url	time_tbd	date_tbd	datetime_local	datetime_utc	created_at	query_performer	num_performers	performer_ids	performer_slugs	venue_id	venue_slug	listing_count	average_price	lowest_price_good_deals	lowest_price	highest_price
2287152	music_festival	Latitude Festival (Weekend Pass) with Portishead, Jose Gonzalez, La Roux	Latitude Festival (Weekend Pass) with Portishead, Jose Gonzalez, La Roux	0.48917	https://seatgeek.com/latitude-festival-weekend-pass-with-portishead-jose-gonzalez-la-roux-tickets/beccles-henham-park-2015-07-16-2-pm/music-festival/2287152/	False	False	2015-07-16T14:00:00	2015-07-16T13:00:00	2014-08-15T00:00:00	25192	40	[726, 1720, 1901, 2467, 4291, 4417, 4729, 6715, 7634, 7999, 8742, 8986, 10797, 10842, 11192, 12203, 13888, 16792, 22561, 22929, 23737, 23913, 24048, 25192, 27975, 30500, 32391, 36027, 38224, 43608, 66913, 69829, 84519, 100090, 107825, 151222, 160624, 165233, 196147, 196982]	[726, 1720, 1901, 2467, 4291, 4417, 4729, 6715, 7634, 7999, 8742, 8986, 10797, 10842, 11192, 12203, 13888, 16792, 22561, 22929, 23737, 23913, 24048, 25192, 27975, 30500, 32391, 36027, 38224, 43608, 66913, 69829, 84519, 100090, 107825, 151222, 160624, 165233, 196147, 196982]	35741	henham-park					
2498900	music_festival	Longitude Festival (Friday Pass) with Chemical Brothers, Jose Gonzalez, Caribou	Longitude Festival (Friday Pass) with Chemical Brothers, Jose Gonzalez, Caribou	0.45368	https://seatgeek.com/longitude-festival-friday-pass-with-chemical-brothers-jose-gonzalez-caribou-tickets/dublin-marlay-park-2015-07-17-1-30-pm/music-festival/2498900/	False	False	2015-07-17T13:30:00	2015-07-17T12:30:00	2015-01-30T00:00:00	25192	30	[4291, 4347, 4417, 4444, 6715, 7634, 7999, 8832, 11094, 11192, 15796, 16792, 19889, 23936, 24190, 25192, 28539, 38224, 59227, 66507, 75190, 76136, 84732, 105219, 107825, 114843, 130985, 134650, 162066, 165233]	[4291, 4347, 4417, 4444, 6715, 7634, 7999, 8832, 11094, 11192, 15796, 16792, 19889, 23936, 24190, 25192, 28539, 38224, 59227, 66507, 75190, 76136, 84732, 105219, 107825, 114843, 130985, 134650, 162066, 165233]	10265	marlay-park					
2468649	music_festival	Newport Folk Festival (3 Day Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	Newport Folk Festival (3 Day Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	0.64329	https://seatgeek.com/newport-folk-festival-3-day-pass-with-iron-wine-sufjan-stevens-the-decemberists-tickets/newport-rhode-island-fort-adams-state-park-2015-07-24-3-30-am/music-festival/2468649/	True	False	2015-07-24T03:30:00	2015-07-24T07:30:00	2015-01-08T00:00:00	25192	41	[107, 271, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 9678, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 60958, 61894, 100741, 106527, 140552, 157711, 247693, 280345, 302237]	[107, 271, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 9678, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 60958, 61894, 100741, 106527, 140552, 157711, 247693, 280345, 302237]	2293	fort-adams-state-park	13	432.0		396.0	488.0
2451870	music_festival	Newport Folk Festival (Friday Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	Newport Folk Festival (Friday Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	0.65017	https://seatgeek.com/newport-folk-festival-friday-pass-with-iron-wine-sufjan-stevens-the-decemberists-tickets/newport-rhode-island-fort-adams-state-park-2015-07-24-11-am/music-festival/2451870/	False	False	2015-07-24T11:00:00	2015-07-24T15:00:00	2014-12-15T00:00:00	25192	41	[107, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 61894, 75585, 75868, 106527, 140552, 157711, 202036, 205459, 247693, 280345, 302237]	[107, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 61894, 75585, 75868, 106527, 140552, 157711, 202036, 205459, 247693, 280345, 302237]	2293	fort-adams-state-park	57	129.0		105.0	433.0
2486333	music_festival	Newport Folk Festival (2 Day Pass) with Sufjan Stevens, The Decemberists, Jose Gonzalez	Newport Folk Festival (2 Day Pass) with Sufjan Stevens, The Decemberists, Jose Gonzalez	0.64926	https://seatgeek.com/newport-folk-festival-2-day-pass-with-sufjan-stevens-the-decemberists-jose-gonzalez-tickets/newport-rhode-island-fort-adams-state-park-2015-07-25-3-30-am/music-festival/2486333/	True	False	2015-07-25T03:30:00	2015-07-25T07:30:00	2015-01-22T00:00:00	25192	27	[271, 363, 574, 725, 920, 4302, 4521, 4729, 5059, 6282, 7673, 8736, 9678, 11637, 15135, 16315, 18682, 19357, 22320, 25192, 34398, 40342, 60958, 100741, 106527, 157711, 247693]	[271, 363, 574, 725, 920, 4302, 4521, 4729, 5059, 6282, 7673, 8736, 9678, 11637, 15135, 16315, 18682, 19357, 22320, 25192, 34398, 40342, 60958, 100741, 106527, 157711, 247693]	2293	fort-adams-state-park	26	284.5		208.0	502.0
2451869	music_festival	Newport Folk Festival (Saturday Pass) with Sufjan Stevens, The Decemberists, Jose Gonzalez	Newport Folk Festival (Saturday Pass) with Sufjan Stevens, The Decemberists, Jose Gonzalez	0.65333	https://seatgeek.com/newport-folk-festival-saturday-pass-with-sufjan-stevens-the-decemberists-jose-gonzalez-tickets/newport-rhode-island-fort-adams-state-park-2015-07-25-11-am/music-festival/2451869/	False	False	2015-07-25T11:00:00	2015-07-25T15:00:00	2014-12-15T00:00:00	25192	17	[271, 363, 574, 920, 4302, 5059, 6282, 9678, 11637, 15135, 19357, 22320, 25192, 34398, 100741, 106527, 157711]	[271, 363, 574, 920, 4302, 5059, 6282, 9678, 11637, 15135, 19357, 22320, 25192, 34398, 100741, 106527, 157711]	2293	fort-adams-state-park	62	148.0		112.0	433.0
2528831	music_festival	Frequency Festival (3 Day Pass) with Linkin Park, The Offspring, Interpol	Frequency Festival (3 Day Pass) with Linkin Park, The Offspring, Interpol	0.0	https://seatgeek.com/frequency-festival-3-day-pass-with-linkin-park-the-offspring-interpol-tickets/st-polten-green-park-st-polten-2015-08-20-12-pm/music-festival/2528831/	False	False	2015-08-20T12:00:00	2015-08-20T10:00:00	2015-02-26T00:00:00	25192	47	[147, 1332, 1469, 1860, 1952, 2402, 2477, 4196, 4264, 4672, 4939, 6026, 6812, 7773, 7941, 8829, 8872, 8951, 9722, 9746, 10222, 11243, 11306, 11357, 11870, 11885, 12840, 15348, 15750, 16330, 16709, 16792, 20584, 23710, 25192, 34799, 39359, 40488, 68206, 77676, 85587, 102412, 107238, 157711, 160227, 160487, 190619]	[147, 1332, 1469, 1860, 1952, 2402, 2477, 4196, 4264, 4672, 4939, 6026, 6812, 7773, 7941, 8829, 8872, 8951, 9722, 9746, 10222, 11243, 11306, 11357, 11870, 11885, 12840, 15348, 15750, 16330, 16709, 16792, 20584, 23710, 25192, 34799, 39359, 40488, 68206, 77676, 85587, 102412, 107238, 157711, 160227, 160487, 190619]	41945	green-park-st-polten					
2396635	music_festival	Austin City Limits Festival (Weekend Pass) with Foo Fighters, The Strokes, Drake	Austin City Limits Festival (Weekend Pass) with Foo Fighters, The Strokes, Drake	0.75279	https://seatgeek.com/austin-city-limits-festival-weekend-pass-with-foo-fighters-the-strokes-drake-tickets/austin-texas-zilker-park-2015-10-02-1-pm/music-festival/2396635/	False	False	2015-10-02T13:00:00	2015-10-02T18:00:00	2014-11-07T00:00:00	25192	75	[230, 262, 362, 569, 574, 660, 744, 1832, 1952, 2268, 2351, 4270, 5999, 6284, 6296, 8736, 9697, 9719, 10226, 11885, 12123, 12203, 12343, 12829, 13666, 13733, 14279, 14998, 15670, 16163, 16196, 16197, 16330, 16792, 16934, 18437, 18887, 19478, 19513, 23226, 23775, 24037, 25192, 26654, 33139, 33251, 34979, 37145, 39787, 40342, 59141, 60936, 66677, 100026, 100741, 100845, 102125, 102199, 105219, 107238, 107510, 108722, 152016, 152080, 154715, 165233, 206058, 258952, 270278, 288630, 293035, 295095, 297726, 302237, 309095]	[230, 262, 362, 569, 574, 660, 744, 1832, 1952, 2268, 2351, 4270, 5999, 6284, 6296, 8736, 9697, 9719, 10226, 11885, 12123, 12203, 12343, 12829, 13666, 13733, 14279, 14998, 15670, 16163, 16196, 16197, 16330, 16792, 16934, 18437, 18887, 19478, 19513, 23226, 23775, 24037, 25192, 26654, 33139, 33251, 34979, 37145, 39787, 40342, 59141, 60936, 66677, 100026, 100741, 100845, 102125, 102199, 105219, 107238, 107510, 108722, 152016, 152080, 154715, 165233, 206058, 258952, 270278, 288630, 293035, 295095, 297726, 302237, 309095]	3850	zilker-park	96	412.0		362.0	1966.0
2377713	music_festival	Austin City Limits Festival (Friday Pass) with Foo Fighters, The Strokes, Drake	Austin City Limits Festival (Friday Pass) with Foo Fighters, The Strokes, Drake	0.74378	https://seatgeek.com/austin-city-limits-festival-friday-pass-with-foo-fighters-the-strokes-drake-tickets/austin-texas-zilker-park-2015-10-02-1-30-pm/music-festival/2377713/	False	False	2015-10-02T13:30:00	2015-10-02T18:30:00	2014-10-17T00:00:00	25192	59	[230, 262, 362, 569, 574, 660, 744, 1832, 1952, 2268, 2351, 4270, 5999, 6284, 6296, 8736, 9697, 10112, 10226, 11885, 12123, 12203, 12343, 13666, 13733, 14279, 14947, 14998, 15670, 16163, 16330, 16792, 16934, 17172, 18105, 18437, 18887, 19478, 19513, 23775, 24037, 25192, 26654, 27556, 31392, 33139, 33251, 37145, 40342, 60936, 61866, 99944, 102125, 105219, 108722, 154715, 165233, 206058, 236895]	[230, 262, 362, 569, 574, 660, 744, 1832, 1952, 2268, 2351, 4270, 5999, 6284, 6296, 8736, 9697, 10112, 10226, 11885, 12123, 12203, 12343, 13666, 13733, 14279, 14947, 14998, 15670, 16163, 16330, 16792, 16934, 17172, 18105, 18437, 18887, 19478, 19513, 23775, 24037, 25192, 26654, 27556, 31392, 33139, 33251, 37145, 40342, 60936, 61866, 99944, 102125, 105219, 108722, 154715, 165233, 206058, 236895]	3850	zilker-park	32	166.5		153.0	190.0
2396636	music_festival	Austin City Limits Festival (Weekend Pass) with Foo Fighters, Drake, Modest Mouse	Austin City Limits Festival (Weekend Pass) with Foo Fighters, Drake, Modest Mouse	0.75633	https://seatgeek.com/austin-city-limits-festival-weekend-pass-with-foo-fighters-drake-modest-mouse-tickets/austin-texas-zilker-park-2015-10-09-3-30-am/music-festival/2396636/	True	False	2015-10-09T03:30:00	2015-10-09T08:30:00	2014-11-07T00:00:00	25192	76	[230, 262, 362, 569, 574, 660, 744, 1272, 1832, 1952, 2268, 2351, 2378, 4270, 5999, 6284, 8736, 9697, 9719, 10226, 11885, 12203, 12829, 13666, 13733, 14279, 14862, 14947, 14998, 15372, 15670, 16163, 16196, 16197, 16330, 16792, 16934, 18437, 18887, 19513, 23226, 23775, 24037, 25192, 26654, 27227, 33139, 33251, 34398, 40342, 59141, 61701, 100026, 100741, 102125, 102199, 105219, 107238, 107510, 107825, 108722, 152016, 152080, 154715, 206058, 258952, 268760, 270278, 276914, 286621, 288630, 293035, 295095, 302237, 304621, 309095]	[230, 262, 362, 569, 574, 660, 744, 1272, 1832, 1952, 2268, 2351, 2378, 4270, 5999, 6284, 8736, 9697, 9719, 10226, 11885, 12203, 12829, 13666, 13733, 14279, 14862, 14947, 14998, 15372, 15670, 16163, 16196, 16197, 16330, 16792, 16934, 18437, 18887, 19513, 23226, 23775, 24037, 25192, 26654, 27227, 33139, 33251, 34398, 40342, 59141, 61701, 100026, 100741, 102125, 102199, 105219, 107238, 107510, 107825, 108722, 152016, 152080, 154715, 206058, 258952, 268760, 270278, 276914, 286621, 288630, 293035, 295095, 302237, 304621, 309095]	3850	zilker-park	151	355.0		167.0	1788.0
2381018	music_festival	Forecastle Festival (Friday Pass) with Modest Mouse, Cold War Kids, My Morning Jacket	Forecastle Festival (Friday Pass) with Modest Mouse, Cold War Kids, My Morning Jacket	0.55414	https://seatgeek.com/forecastle-festival-friday-pass-with-modest-mouse-cold-war-kids-my-morning-jacket-tickets/louisville-kentucky-louisville-waterfront-park-1-2015-07-17-11-am/music-festival/2381018/	False	False	2015-07-17T11:00:00	2015-07-17T15:00:00	2014-10-22T00:00:00	1739	44	[488, 771, 1272, 1307, 1378, 1458, 1739, 2011, 4198, 4276, 4521, 6055, 9461, 14250, 15135, 16163, 16315, 16447, 16943, 17171, 17545, 17575, 18493, 19718, 20576, 21166, 22298, 25187, 26020, 26654, 28193, 33139, 34131, 61894, 82869, 109266, 121297, 133456, 152080, 201123, 230242, 272181, 276657, 284183]	[488, 771, 1272, 1307, 1378, 1458, 1739, 2011, 4198, 4276, 4521, 6055, 9461, 14250, 15135, 16163, 16315, 16447, 16943, 17171, 17545, 17575, 18493, 19718, 20576, 21166, 22298, 25187, 26020, 26654, 28193, 33139, 34131, 61894, 82869, 109266, 121297, 133456, 152080, 201123, 230242, 272181, 276657, 284183]	8489	louisville-waterfront-park-1	5	201.0		189.0	214.0
2381019	music_festival	Forecastle Festival (3 Day Pass) with Modest Mouse, Cold War Kids, My Morning Jacket	Forecastle Festival (3 Day Pass) with Modest Mouse, Cold War Kids, My Morning Jacket	0.55761	https://seatgeek.com/forecastle-festival-3-day-pass-with-modest-mouse-cold-war-kids-my-morning-jacket-tickets/louisville-kentucky-louisville-waterfront-park-1-2015-07-17-1-29-pm/music-festival/2381019/	False	False	2015-07-17T13:29:00	2015-07-17T17:29:00	2014-10-22T00:00:00	1739	60	[488, 771, 932, 1272, 1307, 1378, 1458, 1739, 2011, 4198, 4211, 4276, 4521, 6055, 6955, 9461, 14250, 14964, 15135, 15176, 16163, 16315, 16447, 16943, 17171, 17545, 17575, 18493, 19718, 20497, 20576, 21166, 22298, 23751, 25187, 26020, 26654, 28193, 31311, 33139, 34131, 35278, 61894, 82869, 100741, 109266, 111894, 121297, 133456, 136993, 152080, 201123, 230242, 265324, 272181, 276657, 284183, 287518, 287571, 290129]	[488, 771, 932, 1272, 1307, 1378, 1458, 1739, 2011, 4198, 4211, 4276, 4521, 6055, 6955, 9461, 14250, 14964, 15135, 15176, 16163, 16315, 16447, 16943, 17171, 17545, 17575, 18493, 19718, 20497, 20576, 21166, 22298, 23751, 25187, 26020, 26654, 28193, 31311, 33139, 34131, 35278, 61894, 82869, 100741, 109266, 111894, 121297, 133456, 136993, 152080, 201123, 230242, 265324, 272181, 276657, 284183, 287518, 287571, 290129]	8489	louisville-waterfront-park-1	4	397.5		307.0	819.0
2381015	music_festival	Forecastle Festival (Sunday Pass) with Modest Mouse, The Tallest Man On Earth, Portugal. The Man	Forecastle Festival (Sunday Pass) with Modest Mouse, The Tallest Man On Earth, Portugal. The Man	0.55622	https://seatgeek.com/forecastle-festival-sunday-pass-with-modest-mouse-the-tallest-man-on-earth-portugal-the-man-tickets/louisville-kentucky-louisville-waterfront-park-1-2015-07-19-11-am/music-festival/2381015/	False	False	2015-07-19T11:00:00	2015-07-19T15:00:00	2014-10-22T00:00:00	1739	18	[1272, 1378, 1458, 1739, 2011, 4521, 14250, 16315, 17171, 17575, 21166, 22298, 26020, 35278, 61894, 133456, 265324, 287571]	[1272, 1378, 1458, 1739, 2011, 4521, 14250, 16315, 17171, 17575, 21166, 22298, 26020, 35278, 61894, 133456, 265324, 287571]	8489	louisville-waterfront-park-1	5	154.0		142.0	168.0
2610473	concert	The Tallest Man On Earth with Hiss Golden Messenger	The Tallest Man On Earth with Hiss Golden Messenger	0.53267	https://seatgeek.com/the-tallest-man-on-earth-with-hiss-golden-messenger-tickets/royal-oak-michigan-royal-oak-music-theatre-2015-07-20-7-30-pm/concert/2610473/	False	False	2015-07-20T19:30:00	2015-07-20T23:30:00	2015-05-13T00:00:00	1739	2	[1739, 140552]	[1739, 140552]	204	royal-oak-music-theatre	16	219.4	198	198	232
2617863	concert	The Tallest Man On Earth	The Tallest Man On Earth	0.5227	https://seatgeek.com/the-tallest-man-on-earth-tickets/buffalo-new-york-babeville-2015-07-22-8-pm/concert/2617863/	False	False	2015-07-22T20:00:00	2015-07-23T00:00:00	2015-05-22T00:00:00	1739	1	[1739]	[1739]	2730	babeville	10	185.0		52.0	469.0
2468649	music_festival	Newport Folk Festival (3 Day Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	Newport Folk Festival (3 Day Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	0.64329	https://seatgeek.com/newport-folk-festival-3-day-pass-with-iron-wine-sufjan-stevens-the-decemberists-tickets/newport-rhode-island-fort-adams-state-park-2015-07-24-3-30-am/music-festival/2468649/	True	False	2015-07-24T03:30:00	2015-07-24T07:30:00	2015-01-08T00:00:00	1739	41	[107, 271, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 9678, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 60958, 61894, 100741, 106527, 140552, 157711, 247693, 280345, 302237]	[107, 271, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 9678, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 60958, 61894, 100741, 106527, 140552, 157711, 247693, 280345, 302237]	2293	fort-adams-state-park	13	432.0		396.0	488.0
2451870	music_festival	Newport Folk Festival (Friday Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	Newport Folk Festival (Friday Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	0.65017	https://seatgeek.com/newport-folk-festival-friday-pass-with-iron-wine-sufjan-stevens-the-decemberists-tickets/newport-rhode-island-fort-adams-state-park-2015-07-24-11-am/music-festival/2451870/	False	False	2015-07-24T11:00:00	2015-07-24T15:00:00	2014-12-15T00:00:00	1739	41	[107, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 61894, 75585, 75868, 106527, 140552, 157711, 202036, 205459, 247693, 280345, 302237]	[107, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 61894, 75585, 75868, 106527, 140552, 157711, 202036, 205459, 247693, 280345, 302237]	2293	fort-adams-state-park	57	129.0		105.0	433.0
2611547	concert	The Tallest Man On Earth	The Tallest Man On Earth	0.53185	https://seatgeek.com/the-tallest-man-on-earth-tickets/richmond-virginia-the-national-2015-07-25-8-pm/concert/2611547/	False	False	2015-07-25T20:00:00	2015-07-26T00:00:00	2015-05-14T00:00:00	1739	1	[1739]	[1739]	357	the-national	18	139.22		55	487
2610543	concert	The Tallest Man On Earth	The Tallest Man On Earth	0.54724	https://seatgeek.com/the-tallest-man-on-earth-tickets/munhall-pennsylvania-carnegie-library-music-hall-2015-07-26-8-pm/concert/2610543/	False	False	2015-07-26T20:00:00	2015-07-27T00:00:00	2015-05-13T00:00:00	1739	1	[1739]	[1739]	1180	carnegie-library-music-hall	17	207.0		79.0	562.0
2611576	concert	The Tallest Man On Earth	The Tallest Man On Earth	0.54708	https://seatgeek.com/the-tallest-man-on-earth-tickets/saint-louis-missouri-the-pageant-2015-07-29-8-pm/concert/2611576/	False	False	2015-07-29T20:00:00	2015-07-30T01:00:00	2015-05-14T00:00:00	1739	1	[1739]	[1739]	440	the-pageant	63	58	34	34	267
